Vdaf,Hdaf,G,Y,b
22.7,,,,
26,,,,
25.3,,,,
23.6,,,,
25.2,,,,
21.6,,,,
21.1,,,,
25.5,,,,
19.1,,,,
28.5,,,,
23.7,,,,
20.7,,,,
20.4,,,,
25.6,,,,
27.4,,,,
23.9,,,,
23.6,,,,
22.3,,,,
22.8,,,,
22.5,,,,
22.9,,,,
22.4,,,,
26.1,,,,
22.5,,,,
21.6,,,,
22,,,,
21.8,,,,
23.2,,,,
22.7,,,,
26.5,,,,
24.2,,,,
20.6,,,,
22.9,,,,
26,,,,
22.4,,,,
21.5,,,,
22.3,,,,
20.9,,,,
22.5,,,,
24.3,,,,
21,,,,
26.3,,,,
24.1,,,,
20.7,,,,
22.5,,,,
21.5,,,,
25.5,,,,
23.1,,,,
22.8,,,,
20.5,,,,
24.7,,,,
23.2,,,,
23.8,,,,
20.9,,,,
20.1,,,,
24.2,,,,
28.3,,,,
25.2,,,,
19,,,,
22.3,,,,
23.3,,,,
23.3,,,,
22.4,,,,
25.9,,,,
20.2,,,,
25,,,,
20.6,,,,
26,,,,
26.02,,720.1,,
30.41,,701.3,,
30.1,,704.7,,
27.24,,708.8,,
31.12,,697.7,,
32.01,,687.5,,
30.02,,703.2,,
32.12,,688.5,,
33.58,,676.3,,
28.43,,702.7,,
27.41,,698.2,,
25.82,,734,,
29.8,,677,,
31.93,,653.5,,
31.7,,671.1,,
32.81,,655.5,,
33.75,,643.4,,
27.55,,721,,
29.11,,710.3,,
28.38,,717.3,,
28.76,,713.8,,
29.15,,709.1,,
29.71,,705.1,,
29.88,,704.8,,
35.2,,622.4,,
30.34,,685,,
24.03,,726.2,,
32.79,5.193480502,88,20,53
33.79,4.905898759,79,22,
34.66,5.439642737,70,19,
35.26,5.108827858,74,15,-10
34.07,4.822905554,66,18,
34.66,3.222197536,70,19,
39.2,5.108827858,40,11,
38.16,5.193480502,42,14,
37.52,5.324574354,41,12.5,
36.01,4.905898759,58,16,
25.13,5.041481135,84,22,17
38.29,4.822635094,102,25,185
27.31,5.250763422,88,19,69
25.13,4.648432559,88,19,48
22.39,5.161631005,83,17,19
25.64,5.091746917,86,16,39
32.53,5.203919705,103,31,377
39.8,5.203919705,102,20,136
21.36,5.100304704,72,15,-5
21.58,4.671247925,61,15,-15
36.48,4.822905554,98,28,249
35.46,5.299039108,96,31,252
33.18,4.708776311,79,17,7
37.26,5.163994188,92,18,
37.56,5.554550313,87,20,
38.02,,,,
28.53,,,,
27.82,,,,
26.02,,,,
25.03,,,,
26.54,,,,
32.43,,,,
25.81,,,,
23.14,,,,
26.7,,,,
23.59,,,,
23.56,,,,
22.03,,,,
33.91,,,,
33.53,,,,
32.01,,,,
34.05,,,,
32.83,,,,
30.34,,,,
30.41,,,,
27.7221,,79.36,14.24,
27.5571,,80.08,14.48,
28.4978,,80.77,14.61,
27.4444,,78.05,14.965,
26.8524,,69.54,13.33,
28.1595,,77.79,13.05,
27.3982,,80.06,15.46,
